2022-06-07 12:12:20,778 [TRAIN] Iteration 0 | loss 1.707965 | accuracy 25.000000
0607 12:12:22 PM [TRAIN] Iteration 58 | loss 1.660173 | accuracy 20.508475
2022-06-07 12:12:22,670 [TRAIN] Iteration 59 | loss 1.659599 | accuracy 20.416667
0607 12:12:22 PM [TRAIN] Iteration 59 | loss 1.659599 | accuracy 20.416667
2022-06-07 12:12:22,705 [TRAIN] Iteration 60 | loss 1.660344 | accuracy 20.327869
0607 12:12:22 PM [TRAIN] Iteration 60 | loss 1.660344 | accuracy 20.327869
2022-06-07 12:12:22,739 [TRAIN] Iteration 61 | loss 1.659883 | accuracy 20.564517
0607 12:12:22 PM [TRAIN] Iteration 61 | loss 1.659883 | accuracy 20.564517
2022-06-07 12:12:22,770 [TRAIN] Iteration 62 | loss 1.659807 | accuracy 20.476191
0607 12:12:22 PM [TRAIN] Iteration 62 | loss 1.659807 | accuracy 20.476191
2022-06-07 12:12:22,801 [TRAIN] Iteration 63 | loss 1.659920 | accuracy 20.546875
0607 12:12:22 PM [TRAIN] Iteration 63 | loss 1.659920 | accuracy 20.546875
2022-06-07 12:12:22,832 [TRAIN] Iteration 64 | loss 1.660341 | accuracy 20.461539
0607 12:12:22 PM [TRAIN] Iteration 64 | loss 1.660341 | accuracy 20.461539
2022-06-07 12:12:22,862 [TRAIN] Iteration 65 | loss 1.660107 | accuracy 20.530303
0607 12:12:22 PM [TRAIN] Iteration 65 | loss 1.660107 | accuracy 20.530303
2022-06-07 12:12:22,897 [TRAIN] Iteration 66 | loss 1.660305 | accuracy 20.671642
0607 12:12:22 PM [TRAIN] Iteration 66 | loss 1.660305 | accuracy 20.671642
2022-06-07 12:12:22,932 [TRAIN] Iteration 67 | loss 1.661310 | accuracy 20.661765
0607 12:12:22 PM [TRAIN] Iteration 67 | loss 1.661310 | accuracy 20.661765
2022-06-07 12:12:22,965 [TRAIN] Iteration 68 | loss 1.660458 | accuracy 20.869566
0607 12:12:22 PM [TRAIN] Iteration 68 | loss 1.660458 | accuracy 20.869566
2022-06-07 12:12:22,999 [TRAIN] Iteration 69 | loss 1.660893 | accuracy 20.714286
0607 12:12:22 PM [TRAIN] Iteration 69 | loss 1.660893 | accuracy 20.714286
2022-06-07 12:12:23,034 [TRAIN] Iteration 70 | loss 1.660576 | accuracy 20.774648
0607 12:12:23 PM [TRAIN] Iteration 70 | loss 1.660576 | accuracy 20.774648
2022-06-07 12:12:23,065 [TRAIN] Iteration 71 | loss 1.660535 | accuracy 20.833334
0607 12:12:23 PM [TRAIN] Iteration 71 | loss 1.660535 | accuracy 20.833334
2022-06-07 12:12:23,096 [TRAIN] Iteration 72 | loss 1.660832 | accuracy 20.753425
0607 12:12:23 PM [TRAIN] Iteration 72 | loss 1.660832 | accuracy 20.753425
2022-06-07 12:12:23,128 [TRAIN] Iteration 73 | loss 1.660385 | accuracy 20.743244
0607 12:12:23 PM [TRAIN] Iteration 73 | loss 1.660385 | accuracy 20.743244
2022-06-07 12:12:23,160 [TRAIN] Iteration 74 | loss 1.659656 | accuracy 20.733334
0607 12:12:23 PM [TRAIN] Iteration 74 | loss 1.659656 | accuracy 20.733334
2022-06-07 12:12:23,192 [TRAIN] Iteration 75 | loss 1.659179 | accuracy 20.657895
0607 12:12:23 PM [TRAIN] Iteration 75 | loss 1.659179 | accuracy 20.657895
2022-06-07 12:12:23,224 [TRAIN] Iteration 76 | loss 1.658513 | accuracy 20.584416
0607 12:12:23 PM [TRAIN] Iteration 76 | loss 1.658513 | accuracy 20.584416
2022-06-07 12:12:23,256 [TRAIN] Iteration 77 | loss 1.660292 | accuracy 20.384616
0607 12:12:23 PM [TRAIN] Iteration 77 | loss 1.660292 | accuracy 20.384616
2022-06-07 12:12:23,289 [TRAIN] Iteration 78 | loss 1.659094 | accuracy 20.379747
0607 12:12:23 PM [TRAIN] Iteration 78 | loss 1.659094 | accuracy 20.379747
2022-06-07 12:12:23,323 [TRAIN] Iteration 79 | loss 1.658160 | accuracy 20.437500
0607 12:12:23 PM [TRAIN] Iteration 79 | loss 1.658160 | accuracy 20.437500
2022-06-07 12:12:23,354 [TRAIN] Iteration 80 | loss 1.656931 | accuracy 20.493828
0607 12:12:23 PM [TRAIN] Iteration 80 | loss 1.656931 | accuracy 20.493828
2022-06-07 12:12:23,386 [TRAIN] Iteration 81 | loss 1.656644 | accuracy 20.548781
0607 12:12:23 PM [TRAIN] Iteration 81 | loss 1.656644 | accuracy 20.548781
2022-06-07 12:12:23,420 [TRAIN] Iteration 82 | loss 1.656701 | accuracy 20.542169
0607 12:12:23 PM [TRAIN] Iteration 82 | loss 1.656701 | accuracy 20.542169
2022-06-07 12:12:23,451 [TRAIN] Iteration 83 | loss 1.657002 | accuracy 20.476191
0607 12:12:23 PM [TRAIN] Iteration 83 | loss 1.657002 | accuracy 20.476191
2022-06-07 12:12:23,483 [TRAIN] Iteration 84 | loss 1.658262 | accuracy 20.352942
0607 12:12:23 PM [TRAIN] Iteration 84 | loss 1.658262 | accuracy 20.352942
2022-06-07 12:12:23,516 [TRAIN] Iteration 85 | loss 1.658260 | accuracy 20.406977
0607 12:12:23 PM [TRAIN] Iteration 85 | loss 1.658260 | accuracy 20.406977
2022-06-07 12:12:23,550 [TRAIN] Iteration 86 | loss 1.660685 | accuracy 20.172414
0607 12:12:23 PM [TRAIN] Iteration 86 | loss 1.660685 | accuracy 20.172414
2022-06-07 12:12:23,584 [TRAIN] Iteration 87 | loss 1.661296 | accuracy 20.170455
0607 12:12:23 PM [TRAIN] Iteration 87 | loss 1.661296 | accuracy 20.170455
2022-06-07 12:12:23,618 [TRAIN] Iteration 88 | loss 1.661283 | accuracy 20.112360
0607 12:12:23 PM [TRAIN] Iteration 88 | loss 1.661283 | accuracy 20.112360
2022-06-07 12:12:23,649 [TRAIN] Iteration 89 | loss 1.660657 | accuracy 20.333334
0607 12:12:23 PM [TRAIN] Iteration 89 | loss 1.660657 | accuracy 20.333334
2022-06-07 12:12:23,681 [TRAIN] Iteration 90 | loss 1.661181 | accuracy 20.329671
0607 12:12:23 PM [TRAIN] Iteration 90 | loss 1.661181 | accuracy 20.329671
2022-06-07 12:12:23,715 [TRAIN] Iteration 91 | loss 1.660925 | accuracy 20.326087
0607 12:12:23 PM [TRAIN] Iteration 91 | loss 1.660925 | accuracy 20.326087
2022-06-07 12:12:23,749 [TRAIN] Iteration 92 | loss 1.660921 | accuracy 20.215054
0607 12:12:23 PM [TRAIN] Iteration 92 | loss 1.660921 | accuracy 20.215054
2022-06-07 12:12:23,780 [TRAIN] Iteration 93 | loss 1.660118 | accuracy 20.212766
0607 12:12:23 PM [TRAIN] Iteration 93 | loss 1.660118 | accuracy 20.212766
2022-06-07 12:12:23,811 [TRAIN] Iteration 94 | loss 1.661219 | accuracy 20.105264
0607 12:12:23 PM [TRAIN] Iteration 94 | loss 1.661219 | accuracy 20.105264
2022-06-07 12:12:23,844 [TRAIN] Iteration 95 | loss 1.661908 | accuracy 20.052084
0607 12:12:23 PM [TRAIN] Iteration 95 | loss 1.661908 | accuracy 20.052084
2022-06-07 12:12:23,875 [TRAIN] Iteration 96 | loss 1.661438 | accuracy 20.103093
0607 12:12:23 PM [TRAIN] Iteration 96 | loss 1.661438 | accuracy 20.103093
2022-06-07 12:12:23,906 [TRAIN] Iteration 97 | loss 1.661994 | accuracy 19.948980
0607 12:12:23 PM [TRAIN] Iteration 97 | loss 1.661994 | accuracy 19.948980
2022-06-07 12:12:23,938 [TRAIN] Iteration 98 | loss 1.661819 | accuracy 19.898990
0607 12:12:23 PM [TRAIN] Iteration 98 | loss 1.661819 | accuracy 19.898990
2022-06-07 12:12:23,976 [TRAIN] Iteration 99 | loss 1.661509 | accuracy 20.050000
0607 12:12:23 PM [TRAIN] Iteration 99 | loss 1.661509 | accuracy 20.050000
2022-06-07 12:12:24,018 [TRAIN] Iteration 100 | loss 1.661744 | accuracy 20.049505
0607 12:12:24 PM [TRAIN] Iteration 100 | loss 1.661744 | accuracy 20.049505
2022-06-07 12:12:24,059 [TRAIN] Iteration 101 | loss 1.661545 | accuracy 20.098040
0607 12:12:24 PM [TRAIN] Iteration 101 | loss 1.661545 | accuracy 20.098040
2022-06-07 12:12:24,099 [TRAIN] Iteration 102 | loss 1.661490 | accuracy 20.000000
0607 12:12:24 PM [TRAIN] Iteration 102 | loss 1.661490 | accuracy 20.000000
2022-06-07 12:12:24,140 [TRAIN] Iteration 103 | loss 1.661160 | accuracy 20.048077
0607 12:12:24 PM [TRAIN] Iteration 103 | loss 1.661160 | accuracy 20.048077
2022-06-07 12:12:24,181 [TRAIN] Iteration 104 | loss 1.660455 | accuracy 20.142858
0607 12:12:24 PM [TRAIN] Iteration 104 | loss 1.660455 | accuracy 20.142858
2022-06-07 12:12:24,228 [TRAIN] Iteration 105 | loss 1.660635 | accuracy 20.188680
0607 12:12:24 PM [TRAIN] Iteration 105 | loss 1.660635 | accuracy 20.188680
2022-06-07 12:12:24,270 [TRAIN] Iteration 106 | loss 1.660492 | accuracy 20.233645
0607 12:12:24 PM [TRAIN] Iteration 106 | loss 1.660492 | accuracy 20.233645
2022-06-07 12:12:24,304 [TRAIN] Iteration 107 | loss 1.660242 | accuracy 20.324075
0607 12:12:24 PM [TRAIN] Iteration 107 | loss 1.660242 | accuracy 20.324075
2022-06-07 12:12:24,337 [TRAIN] Iteration 108 | loss 1.660682 | accuracy 20.229358
0607 12:12:24 PM [TRAIN] Iteration 108 | loss 1.660682 | accuracy 20.229358
2022-06-07 12:12:24,368 [TRAIN] Iteration 109 | loss 1.660670 | accuracy 20.272728
0607 12:12:24 PM [TRAIN] Iteration 109 | loss 1.660670 | accuracy 20.272728
2022-06-07 12:12:24,401 [TRAIN] Iteration 110 | loss 1.661625 | accuracy 20.180181
0607 12:12:24 PM [TRAIN] Iteration 110 | loss 1.661625 | accuracy 20.180181
2022-06-07 12:12:24,436 [TRAIN] Iteration 111 | loss 1.661342 | accuracy 20.267858
0607 12:12:24 PM [TRAIN] Iteration 111 | loss 1.661342 | accuracy 20.267858
2022-06-07 12:12:24,468 [TRAIN] Iteration 112 | loss 1.660723 | accuracy 20.265487
0607 12:12:24 PM [TRAIN] Iteration 112 | loss 1.660723 | accuracy 20.265487
2022-06-07 12:12:24,504 [TRAIN] Iteration 113 | loss 1.660927 | accuracy 20.263158
0607 12:12:24 PM [TRAIN] Iteration 113 | loss 1.660927 | accuracy 20.263158
2022-06-07 12:12:24,534 [TRAIN] Iteration 114 | loss 1.660557 | accuracy 20.217392
0607 12:12:24 PM [TRAIN] Iteration 114 | loss 1.660557 | accuracy 20.217392
2022-06-07 12:12:24,564 [TRAIN] Iteration 115 | loss 1.660085 | accuracy 20.172414
0607 12:12:24 PM [TRAIN] Iteration 115 | loss 1.660085 | accuracy 20.172414
2022-06-07 12:12:24,595 [TRAIN] Iteration 116 | loss 1.660020 | accuracy 20.213676
0607 12:12:24 PM [TRAIN] Iteration 116 | loss 1.660020 | accuracy 20.213676
2022-06-07 12:12:24,625 [TRAIN] Iteration 117 | loss 1.660050 | accuracy 20.169492
0607 12:12:24 PM [TRAIN] Iteration 117 | loss 1.660050 | accuracy 20.169492
2022-06-07 12:12:24,656 [TRAIN] Iteration 118 | loss 1.660808 | accuracy 20.084034
0607 12:12:24 PM [TRAIN] Iteration 118 | loss 1.660808 | accuracy 20.084034
2022-06-07 12:12:24,687 [TRAIN] Iteration 119 | loss 1.661659 | accuracy 19.958334
0607 12:12:24 PM [TRAIN] Iteration 119 | loss 1.661659 | accuracy 19.958334
2022-06-07 12:12:24,719 [TRAIN] Iteration 120 | loss 1.661261 | accuracy 20.041323
0607 12:12:24 PM [TRAIN] Iteration 120 | loss 1.661261 | accuracy 20.041323
2022-06-07 12:12:24,750 [TRAIN] Iteration 121 | loss 1.662040 | accuracy 19.959017
0607 12:12:24 PM [TRAIN] Iteration 121 | loss 1.662040 | accuracy 19.959017
2022-06-07 12:12:24,780 [TRAIN] Iteration 122 | loss 1.663235 | accuracy 19.878049
0607 12:12:24 PM [TRAIN] Iteration 122 | loss 1.663235 | accuracy 19.878049
2022-06-07 12:12:24,812 [TRAIN] Iteration 123 | loss 1.663580 | accuracy 19.879033
0607 12:12:24 PM [TRAIN] Iteration 123 | loss 1.663580 | accuracy 19.879033
2022-06-07 12:12:24,844 [TRAIN] Iteration 124 | loss 1.663019 | accuracy 19.920000
0607 12:12:24 PM [TRAIN] Iteration 124 | loss 1.663019 | accuracy 19.920000
2022-06-07 12:12:24,874 [TRAIN] Iteration 125 | loss 1.663242 | accuracy 19.920635
0607 12:12:24 PM [TRAIN] Iteration 125 | loss 1.663242 | accuracy 19.920635
2022-06-07 12:12:24,904 [TRAIN] Iteration 126 | loss 1.662558 | accuracy 20.078741
0607 12:12:24 PM [TRAIN] Iteration 126 | loss 1.662558 | accuracy 20.078741
2022-06-07 12:12:24,935 [TRAIN] Iteration 127 | loss 1.662869 | accuracy 20.078125
0607 12:12:24 PM [TRAIN] Iteration 127 | loss 1.662869 | accuracy 20.078125
2022-06-07 12:12:24,966 [TRAIN] Iteration 128 | loss 1.662684 | accuracy 20.077520
0607 12:12:24 PM [TRAIN] Iteration 128 | loss 1.662684 | accuracy 20.077520
2022-06-07 12:12:24,997 [TRAIN] Iteration 129 | loss 1.662321 | accuracy 20.038462
0607 12:12:24 PM [TRAIN] Iteration 129 | loss 1.662321 | accuracy 20.038462
2022-06-07 12:12:25,029 [TRAIN] Iteration 130 | loss 1.662215 | accuracy 20.038168
0607 12:12:25 PM [TRAIN] Iteration 130 | loss 1.662215 | accuracy 20.038168
2022-06-07 12:12:25,060 [TRAIN] Iteration 131 | loss 1.662178 | accuracy 20.037879
0607 12:12:25 PM [TRAIN] Iteration 131 | loss 1.662178 | accuracy 20.037879
2022-06-07 12:12:25,093 [TRAIN] Iteration 132 | loss 1.661898 | accuracy 20.075188
0607 12:12:25 PM [TRAIN] Iteration 132 | loss 1.661898 | accuracy 20.075188
2022-06-07 12:12:25,128 [TRAIN] Iteration 133 | loss 1.661780 | accuracy 20.186568
0607 12:12:25 PM [TRAIN] Iteration 133 | loss 1.661780 | accuracy 20.186568
2022-06-07 12:12:25,160 [TRAIN] Iteration 134 | loss 1.661276 | accuracy 20.222223
0607 12:12:25 PM [TRAIN] Iteration 134 | loss 1.661276 | accuracy 20.222223
2022-06-07 12:12:25,193 [TRAIN] Iteration 135 | loss 1.661064 | accuracy 20.183824
0607 12:12:25 PM [TRAIN] Iteration 135 | loss 1.661064 | accuracy 20.183824
2022-06-07 12:12:25,226 [TRAIN] Iteration 136 | loss 1.661373 | accuracy 20.145986
0607 12:12:25 PM [TRAIN] Iteration 136 | loss 1.661373 | accuracy 20.145986
2022-06-07 12:12:25,259 [TRAIN] Iteration 137 | loss 1.661548 | accuracy 20.072464
0607 12:12:25 PM [TRAIN] Iteration 137 | loss 1.661548 | accuracy 20.072464
2022-06-07 12:12:25,293 [TRAIN] Iteration 138 | loss 1.661526 | accuracy 20.000000
0607 12:12:25 PM [TRAIN] Iteration 138 | loss 1.661526 | accuracy 20.000000
2022-06-07 12:12:25,324 [TRAIN] Iteration 139 | loss 1.661544 | accuracy 19.964286
0607 12:12:25 PM [TRAIN] Iteration 139 | loss 1.661544 | accuracy 19.964286
2022-06-07 12:12:25,355 [TRAIN] Iteration 140 | loss 1.661793 | accuracy 19.893617
0607 12:12:25 PM [TRAIN] Iteration 140 | loss 1.661793 | accuracy 19.893617
2022-06-07 12:12:25,387 [TRAIN] Iteration 141 | loss 1.661684 | accuracy 19.929578
0607 12:12:25 PM [TRAIN] Iteration 141 | loss 1.661684 | accuracy 19.929578
2022-06-07 12:12:25,419 [TRAIN] Iteration 142 | loss 1.661822 | accuracy 19.930070
0607 12:12:25 PM [TRAIN] Iteration 142 | loss 1.661822 | accuracy 19.930070
2022-06-07 12:12:25,450 [TRAIN] Iteration 143 | loss 1.661182 | accuracy 19.930556
0607 12:12:25 PM [TRAIN] Iteration 143 | loss 1.661182 | accuracy 19.930556
2022-06-07 12:12:25,483 [TRAIN] Iteration 144 | loss 1.661167 | accuracy 19.896552
0607 12:12:25 PM [TRAIN] Iteration 144 | loss 1.661167 | accuracy 19.896552
2022-06-07 12:12:25,517 [TRAIN] Iteration 145 | loss 1.660416 | accuracy 19.931507
0607 12:12:25 PM [TRAIN] Iteration 145 | loss 1.660416 | accuracy 19.931507
2022-06-07 12:12:25,548 [TRAIN] Iteration 146 | loss 1.660058 | accuracy 19.965987
0607 12:12:25 PM [TRAIN] Iteration 146 | loss 1.660058 | accuracy 19.965987
2022-06-07 12:12:25,581 [TRAIN] Iteration 147 | loss 1.659759 | accuracy 19.966217
0607 12:12:25 PM [TRAIN] Iteration 147 | loss 1.659759 | accuracy 19.966217
